labels,image number,DFT Binding Energy,Alchemy Binding Energy,BE Absolute Errors,Transmutation Site Index,ESP Difference at Transmute Site,DFT Activation Energy,Alchemy Activation Energy,Ea Absolute Errors
0.0.Ir0.Au12,1,-0.06356599999998025,-0.0963999999999885,0.032834000000008245,12,-0.5762999999999892,-0.8077800000000082,-0.7267000000000081,0.08108000000000004
0.1.Ir0.Au13,1,-0.048323999999979605,-0.07559999999999434,0.027276000000014733,13,-0.555499999999995,-0.00836000000001036,-0.05310000000000059,0.04473999999999023
0.2.Ir0.Au14,1,-0.05215499999997064,-0.07659999999999911,0.02444500000002847,14,-0.5564999999999998,-0.048570000000012215,-0.011499999999998067,0.03707000000001415
0.3.Ir0.Au15,1,-0.0499529999999595,-0.07739999999999725,0.027447000000037747,15,-0.5572999999999979,0.007530000000002701,-0.033699999999996066,0.04122999999999877
0.4.Ir0.Au8,1,-0.04685600000001955,-0.0771000000000015,0.030243999999981952,8,-0.5570000000000022,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,1,-0.04507699999996362,-0.07630000000000337,0.031223000000039747,9,-0.556200000000004,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,1,-0.04701599999998507,-0.07630000000000337,0.029284000000018295,10,-0.556200000000004,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,1,-0.04676900000001183,-0.07720000000000482,0.03043099999999299,11,-0.5571000000000055,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,1,-0.06462299999998322,-0.09669999999998424,0.03207700000000102,12,-0.5762999999999892,-0.822829999999982,-0.7314000000000078,0.09142999999997414
1.1.Ir1.Au13,1,-0.04749599999999532,-0.07589999999999009,0.028403999999994767,13,-0.555499999999995,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,1,-0.05241399999994201,-0.07689999999999486,0.024486000000052854,14,-0.5564999999999998,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,1,-0.05005299999999124,-0.077699999999993,0.027647000000001754,15,-0.5572999999999979,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,1,-0.04660599999996862,-0.07739999999999725,0.030794000000028632,8,-0.5570000000000022,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,1,-0.04627999999999588,-0.07659999999999911,0.030320000000003233,9,-0.556200000000004,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,1,-0.046278999999998405,-0.07659999999999911,0.03032100000000071,10,-0.556200000000004,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,1,-0.047261999999932414,-0.07750000000000057,0.030238000000068155,11,-0.5571000000000055,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,1,0.07455500000003212,0.0963999999999885,0.02184499999995637,12,-0.5762999999999892,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,1,0.053517999999996846,0.07559999999999434,0.022081999999997493,13,-0.555499999999995,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,1,0.052398000000010825,0.07659999999999911,0.02420199999998829,14,-0.5564999999999998,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,1,0.055008000000015045,0.07739999999999725,0.022391999999982204,15,-0.5572999999999979,0.012729999999976371,0.033699999999996066,0.020970000000019695
0.4.Au0.Ir8,1,0.06077900000002501,0.0771000000000015,0.016320999999976493,8,-0.5570000000000022,-0.054200000000008686,-0.03649999999998954,0.017700000000019145
0.5.Au0.Ir9,1,0.06582900000006475,0.07630000000000337,0.010470999999938613,9,-0.556200000000004,0.012889999999970314,-0.011199999999988108,0.024089999999958422
0.6.Au0.Ir10,1,0.059889000000026726,0.07630000000000337,0.01641099999997664,10,-0.556200000000004,-0.021710000000012997,0.00940000000001362,0.031110000000026616
0.7.Au0.Ir11,1,0.061809000000039305,0.07720000000000482,0.015390999999965516,11,-0.5571000000000055,-0.007520000000027949,0.006100000000003547,0.013620000000031496
1.0.Au1.Ir12,1,0.07206800000000158,0.09669999999998424,0.024631999999982668,12,-0.5762999999999892,0.42517999999998324,0.7314000000000078,0.3062200000000246
1.1.Au1.Ir13,1,0.05511100000001079,0.07589999999999009,0.020788999999979296,13,-0.555499999999995,0.02440999999998894,0.057800000000000296,0.033390000000011355
1.2.Au1.Ir14,1,0.05228800000000433,0.07689999999999486,0.02461199999999053,14,-0.5564999999999998,-0.042610000000024684,0.016199999999997772,0.058810000000022455
1.3.Au1.Ir15,1,0.05510900000001584,0.077699999999993,0.022590999999977157,15,-0.5572999999999979,0.012939999999986185,0.03839999999999577,0.025460000000009586
1.4.Au1.Ir8,1,0.06620600000007926,0.07739999999999725,0.011193999999917992,8,-0.5570000000000022,-0.041010000000056834,-0.031799999999989836,0.009210000000066998
1.5.Au1.Ir9,1,0.06073900000001231,0.07659999999999911,0.015860999999986802,9,-0.556200000000004,0.00309000000001447,-0.006499999999988404,0.009590000000002874
1.6.Au1.Ir10,1,0.06014900000002399,0.07659999999999911,0.016450999999975124,10,-0.556200000000004,-0.026530000000008158,0.014100000000013324,0.04063000000002148
1.7.Au1.Ir11,1,0.061199000000044634,0.07750000000000057,0.016300999999955934,11,-0.5571000000000055,-0.00985000000005698,0.010800000000003251,0.02065000000006023
0.0.Ir0.Au12,2,-0.07253599999998528,-0.10850000000000648,0.0359640000000212,12,-0.5482999999999976,-0.8077800000000082,-0.7267000000000081,0.08108000000000004
0.1.Ir0.Au13,2,-0.05326399999995601,-0.08100000000000307,0.027736000000047056,13,-0.5207999999999942,-0.00836000000001036,-0.05310000000000059,0.04473999999999023
0.2.Ir0.Au14,2,-0.05608499999996752,-0.07990000000000919,0.023815000000041664,14,-0.5197000000000003,-0.048570000000012215,-0.011499999999998067,0.03707000000001415
0.3.Ir0.Au15,2,-0.053172999999986814,-0.08190000000000452,0.02872700000001771,15,-0.5216999999999956,0.007530000000002701,-0.033699999999996066,0.04122999999999877
0.4.Ir0.Au8,2,-0.04876600000002895,-0.07960000000001344,0.030833999999984485,8,-0.5194000000000045,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,2,-0.04614699999996219,-0.07850000000001955,0.032353000000057364,9,-0.5183000000000106,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,2,-0.049806000000018,-0.08030000000000825,0.03049399999999025,10,-0.5200999999999993,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,2,-0.049369000000012875,-0.08140000000001635,0.03203100000000347,11,-0.5212000000000074,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,2,-0.07330299999998147,-0.10819999999999652,0.034897000000015055,12,-0.5482999999999976,-0.822829999999982,-0.7314000000000078,0.09142999999997414
1.1.Ir1.Au13,2,-0.05185599999998658,-0.08069999999999311,0.02884400000000653,13,-0.5207999999999942,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,2,-0.05601399999997625,-0.07959999999999923,0.023586000000022977,14,-0.5197000000000003,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,2,-0.05294299999997065,-0.08159999999999457,0.028657000000023913,15,-0.5216999999999956,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,2,-0.04780599999998003,-0.07930000000000348,0.03149400000002345,8,-0.5194000000000045,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,2,-0.047580000000010614,-0.0782000000000096,0.03061999999999898,9,-0.5183000000000106,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,2,-0.04859900000002426,-0.0799999999999983,0.03140099999997403,10,-0.5200999999999993,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,2,-0.04974199999995221,-0.08110000000000639,0.031358000000054176,11,-0.5212000000000074,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,2,0.08294500000002358,0.10850000000000648,0.025554999999982897,12,-0.5482999999999976,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,2,0.05540799999997148,0.08100000000000307,0.02559200000003159,13,-0.5207999999999942,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,2,0.05195799999998485,0.07990000000000919,0.027942000000024336,14,-0.5197000000000003,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,2,0.056528000000014345,0.08190000000000452,0.02537199999999018,15,-0.5216999999999956,0.012729999999976371,0.033699999999996066,0.020970000000019695
0.4.Au0.Ir8,2,0.06266900000002806,0.07960000000001344,0.016930999999985374,8,-0.5194000000000045,-0.054200000000008686,-0.03649999999998954,0.017700000000019145
0.5.Au0.Ir9,2,0.0673990000000515,0.07850000000001955,0.011100999999968053,9,-0.5183000000000106,0.012889999999970314,-0.011199999999988108,0.024089999999958422
0.6.Au0.Ir10,2,0.06297900000001277,0.08030000000000825,0.01732099999999548,10,-0.5200999999999993,-0.021710000000012997,0.00940000000001362,0.031110000000026616
0.7.Au0.Ir11,2,0.06488900000002218,0.08140000000001635,0.01651099999999417,11,-0.5212000000000074,-0.007520000000027949,0.006100000000003547,0.013620000000031496
1.0.Au1.Ir12,2,0.07988800000001106,0.10819999999999652,0.02831199999998546,12,-0.5482999999999976,0.42517999999998324,0.7314000000000078,0.3062200000000246
1.1.Au1.Ir13,2,0.05648100000001932,0.08069999999999311,0.02421899999997379,13,-0.5207999999999942,0.02440999999998894,0.057800000000000296,0.033390000000011355
1.2.Au1.Ir14,2,0.05162800000002221,0.07959999999999923,0.027971999999977015,14,-0.5197000000000003,-0.042610000000024684,0.016199999999997772,0.058810000000022455
1.3.Au1.Ir15,2,0.056309000000027254,0.08159999999999457,0.025290999999967312,15,-0.5216999999999956,0.012939999999986185,0.03839999999999577,0.025460000000009586
1.4.Au1.Ir8,2,0.06729600000005576,0.07930000000000348,0.012003999999947723,8,-0.5194000000000045,-0.041010000000056834,-0.031799999999989836,0.009210000000066998
1.5.Au1.Ir9,2,0.06163900000004219,0.0782000000000096,0.016560999999967407,9,-0.5183000000000106,0.00309000000001447,-0.006499999999988404,0.009590000000002874
1.6.Au1.Ir10,2,0.06356900000002952,0.0799999999999983,0.016430999999968776,10,-0.5200999999999993,-0.026530000000008158,0.014100000000013324,0.04063000000002148
1.7.Au1.Ir11,2,0.06477900000001569,0.08110000000000639,0.016320999999990704,11,-0.5212000000000074,-0.00985000000005698,0.010800000000003251,0.02065000000006023
0.0.Ir0.Au12,3,-0.09391600000000722,-0.13299999999999557,0.03908399999998835,12,-0.5144999999999982,-0.8077800000000082,-0.7267000000000081,0.08108000000000004
0.1.Ir0.Au13,3,-0.05094399999995858,-0.07529999999998438,0.0243560000000258,13,-0.456799999999987,-0.00836000000001036,-0.05310000000000059,0.04473999999999023
0.2.Ir0.Au14,3,-0.05694499999995628,-0.07699999999998397,0.02005500000002769,14,-0.4584999999999866,-0.048570000000012215,-0.011499999999998067,0.03707000000001415
0.3.Ir0.Au15,3,-0.050792999999970334,-0.07749999999998636,0.026707000000016023,15,-0.458999999999989,0.007530000000002701,-0.033699999999996066,0.04122999999999877
0.4.Ir0.Au8,3,-0.04970600000001468,-0.08089999999999975,0.031193999999985067,8,-0.46240000000000236,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,3,-0.04637699999997835,-0.07869999999999777,0.03232300000001942,9,-0.4602000000000004,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,3,-0.05258600000001934,-0.08380000000001075,0.031213999999991415,10,-0.46530000000001337,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,3,-0.05142900000001305,-0.08450000000000557,0.03307099999999252,11,-0.4660000000000082,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,3,-0.09445299999995882,-0.13070000000000448,0.03624700000004566,12,-0.5144999999999982,-0.822829999999982,-0.7314000000000078,0.09142999999997414
1.1.Ir1.Au13,3,-0.0484559999999874,-0.07299999999999329,0.024544000000005894,13,-0.456799999999987,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,3,-0.056303999999983034,-0.07469999999999288,0.01839600000000985,14,-0.4584999999999866,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,3,-0.05002299999998172,-0.07519999999999527,0.02517700000001355,15,-0.458999999999989,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,3,-0.04914599999997904,-0.07860000000000866,0.029454000000029623,8,-0.46240000000000236,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,3,-0.04726999999999748,-0.07640000000000668,0.029130000000009204,9,-0.4602000000000004,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,3,-0.050689000000005535,-0.08150000000001967,0.030811000000014133,10,-0.46530000000001337,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,3,-0.05146199999995815,-0.08220000000001448,0.03073800000005633,11,-0.4660000000000082,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,3,0.10166500000002543,0.13299999999999557,0.03133499999997014,12,-0.5144999999999982,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,3,0.046188000000000784,0.07529999999998438,0.029111999999983595,13,-0.456799999999987,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,3,0.04419800000002283,0.07699999999998397,0.03280199999996114,14,-0.4584999999999866,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,3,0.04901800000001799,0.07749999999998636,0.028481999999968366,15,-0.458999999999989,0.012729999999976371,0.033699999999996066,0.020970000000019695
0.4.Au0.Ir8,3,0.06296900000003802,0.08089999999999975,0.017930999999961728,8,-0.46240000000000236,-0.054200000000008686,-0.03649999999998954,0.017700000000019145
0.5.Au0.Ir9,3,0.06685900000005063,0.07869999999999777,0.011840999999947144,9,-0.4602000000000004,0.012889999999970314,-0.011199999999988108,0.024089999999958422
0.6.Au0.Ir10,3,0.06638900000004355,0.08380000000001075,0.017410999999967203,10,-0.46530000000001337,-0.021710000000012997,0.00940000000001362,0.031110000000026616
0.7.Au0.Ir11,3,0.06728900000004501,0.08450000000000557,0.017210999999960563,11,-0.4660000000000082,-0.007520000000027949,0.006100000000003547,0.013620000000031496
1.0.Au1.Ir12,3,0.09677800000000047,0.13070000000000448,0.033922000000004005,12,-0.5144999999999982,0.42517999999998324,0.7314000000000078,0.3062200000000246
1.1.Au1.Ir13,3,0.047291000000029726,0.07299999999999329,0.025708999999963567,13,-0.456799999999987,0.02440999999998894,0.057800000000000296,0.033390000000011355
1.2.Au1.Ir14,3,0.04345800000001532,0.07469999999999288,0.031241999999977565,14,-0.4584999999999866,-0.042610000000024684,0.016199999999997772,0.058810000000022455
1.3.Au1.Ir15,3,0.0483289999999954,0.07519999999999527,0.026870999999999867,15,-0.458999999999989,0.012939999999986185,0.03839999999999577,0.025460000000009586
1.4.Au1.Ir8,3,0.06643600000003858,0.07860000000000866,0.012163999999970088,8,-0.46240000000000236,-0.041010000000056834,-0.031799999999989836,0.009210000000066998
1.5.Au1.Ir9,3,0.060699000000028036,0.07640000000000668,0.01570099999997865,9,-0.4602000000000004,0.00309000000001447,-0.006499999999988404,0.009590000000002874
1.6.Au1.Ir10,3,0.06634900000003086,0.08150000000001967,0.015150999999988812,10,-0.46530000000001337,-0.026530000000008158,0.014100000000013324,0.04063000000002148
1.7.Au1.Ir11,3,0.0668590000000222,0.08220000000001448,0.015340999999992277,11,-0.4660000000000082,-0.00985000000005698,0.010800000000003251,0.02065000000006023
0.0.Ir0.Au12,4,-0.14949599999997076,-0.1991000000000014,0.049604000000030624,12,-0.47860000000000014,-0.8077800000000082,-0.7267000000000081,0.08108000000000004
0.1.Ir0.Au13,4,-0.044853999999958205,-0.06550000000000011,0.02064600000004191,13,-0.34499999999999886,-0.00836000000001036,-0.05310000000000059,0.04473999999999023
0.2.Ir0.Au14,4,-0.055864999999954534,-0.07099999999999795,0.01513500000004342,14,-0.3504999999999967,-0.048570000000012215,-0.011499999999998067,0.03707000000001415
0.3.Ir0.Au15,4,-0.047472999999968124,-0.07119999999999038,0.023727000000022258,15,-0.35069999999998913,0.007530000000002701,-0.033699999999996066,0.04122999999999877
0.4.Ir0.Au8,4,-0.04957600000003026,-0.08150000000000546,0.031923999999975194,8,-0.3610000000000042,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,4,-0.04761699999997404,-0.07980000000000587,0.032183000000031825,9,-0.3593000000000046,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,4,-0.0605160000000069,-0.09370000000001255,0.03318400000000565,10,-0.3732000000000113,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,4,-0.0553989999999942,-0.08970000000000766,0.03430100000001346,11,-0.3692000000000064,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,4,-0.14962299999996276,-0.1967999999999961,0.04717700000003333,12,-0.47860000000000014,-0.822829999999982,-0.7314000000000078,0.09142999999997414
