labels,image number,DFT Binding Energy,Alchemy Binding Energy,BE Absolute Errors,Transmutation Site Index,ESP Difference at Transmute Site,DFT Activation Energy,Alchemy Activation Energy,Ea Absolute Errors
1.1.Ir1.Au13,4,-0.03988599999999565,-0.06319999999999482,0.02331399999999917,13,-0.34499999999999886,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,4,-0.05398399999995718,-0.06869999999999266,0.014716000000035478,14,-0.3504999999999967,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,4,-0.0455029999999681,-0.06889999999998508,0.023397000000016988,15,-0.35069999999998913,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,4,-0.04998599999996145,-0.07920000000000016,0.02921400000003871,8,-0.3610000000000042,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,4,-0.046750000000002956,-0.07750000000000057,0.030749999999997613,9,-0.3593000000000046,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,4,-0.057738999999997986,-0.09140000000000725,0.03366100000000927,10,-0.3732000000000113,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,4,-0.05427199999994059,-0.08740000000000236,0.033128000000061775,11,-0.3692000000000064,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,4,0.1466850000000477,0.1991000000000014,0.05241499999995369,12,-0.47860000000000014,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,4,0.02850800000001641,0.06550000000000011,0.036991999999983705,13,-0.34499999999999886,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,4,0.02752799999998956,0.07099999999999795,0.04347200000000839,14,-0.3504999999999967,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,4,0.034428000000019665,0.07119999999999038,0.03677199999997072,15,-0.35069999999998913,0.012729999999976371,0.033699999999996066,0.020970000000019695
0.4.Au0.Ir8,4,0.060119000000014466,0.08150000000000546,0.02138099999999099,8,-0.3610000000000042,-0.054200000000008686,-0.03649999999998954,0.017700000000019145
0.5.Au0.Ir9,4,0.06634900000003086,0.07980000000000587,0.01345099999997501,9,-0.3593000000000046,0.012889999999970314,-0.011199999999988108,0.024089999999958422
0.6.Au0.Ir10,4,0.07287900000002878,0.09370000000001255,0.02082099999998377,10,-0.3732000000000113,-0.021710000000012997,0.00940000000001362,0.031110000000026616
0.7.Au0.Ir11,4,0.06948900000003277,0.08970000000000766,0.020210999999974888,11,-0.3692000000000064,-0.007520000000027949,0.006100000000003547,0.013620000000031496
1.0.Au1.Ir12,4,0.13747800000001575,0.1967999999999961,0.059321999999980335,12,-0.47860000000000014,0.42517999999998324,0.7314000000000078,0.3062200000000246
1.1.Au1.Ir13,4,0.029721000000023423,0.06319999999999482,0.03347899999997139,13,-0.34499999999999886,0.02440999999998894,0.057800000000000296,0.033390000000011355
1.2.Au1.Ir14,4,0.02612799999999993,0.06869999999999266,0.04257199999999273,14,-0.3504999999999967,-0.042610000000024684,0.016199999999997772,0.058810000000022455
1.3.Au1.Ir15,4,0.03277900000003342,0.06889999999998508,0.036120999999951664,15,-0.35069999999998913,0.012939999999986185,0.03839999999999577,0.025460000000009586
1.4.Au1.Ir8,4,0.06157600000005914,0.07920000000000016,0.01762399999994102,8,-0.3610000000000042,-0.041010000000056834,-0.031799999999989836,0.009210000000066998
1.5.Au1.Ir9,4,0.05954900000003249,0.07750000000000057,0.017950999999968076,9,-0.3593000000000046,0.00309000000001447,-0.006499999999988404,0.009590000000002874
1.6.Au1.Ir10,4,0.07243900000003123,0.09140000000000725,0.018960999999976025,10,-0.3732000000000113,-0.026530000000008158,0.014100000000013324,0.04063000000002148
1.7.Au1.Ir11,4,0.06868900000003464,0.08740000000000236,0.018710999999967726,11,-0.3692000000000064,-0.00985000000005698,0.010800000000003251,0.02065000000006023
0.0.Ir0.Au12,5,-0.3012859999999762,-0.3666999999999945,0.06541400000001829,12,-0.45649999999999125,-0.8077800000000082,-0.7267000000000081,0.08108000000000004
0.1.Ir0.Au13,5,-0.03673399999996718,-0.05679999999999552,0.02006600000002834,13,-0.1465999999999923,-0.00836000000001036,-0.05310000000000059,0.04473999999999023
0.2.Ir0.Au14,5,-0.045144999999962465,-0.050299999999992906,0.005155000000030441,14,-0.14009999999998968,-0.048570000000012215,-0.011499999999998067,0.03707000000001415
0.3.Ir0.Au15,5,-0.047102999999935946,-0.06940000000000168,0.022297000000065736,15,-0.15919999999999845,0.007530000000002701,-0.033699999999996066,0.04122999999999877
0.4.Ir0.Au8,5,-0.04153600000000779,-0.06860000000000355,0.027063999999995758,8,-0.15840000000000032,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,5,-0.04554699999994227,-0.07830000000001291,0.03275300000007064,9,-0.16810000000000969,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,5,-0.07742600000000266,-0.10590000000000543,0.028474000000002775,10,-0.1957000000000022,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,5,-0.05762899999999149,-0.08960000000000434,0.03197100000001285,11,-0.17940000000000111,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,5,-0.30485299999995163,-0.36539999999999395,0.06054700000004232,12,-0.45649999999999125,-0.822829999999982,-0.7314000000000078,0.09142999999997414
1.1.Ir1.Au13,5,-0.030935999999996966,-0.055499999999995,0.024563999999998032,13,-0.1465999999999923,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,5,-0.04395399999992833,-0.04899999999999238,0.005046000000064055,14,-0.14009999999998968,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,5,-0.045422999999971125,-0.06810000000000116,0.022677000000030034,15,-0.15919999999999845,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,5,-0.042345999999952255,-0.06730000000000302,0.02495400000005077,8,-0.15840000000000032,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,5,-0.044749999999993406,-0.07700000000001239,0.032250000000018986,9,-0.16810000000000969,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,5,-0.07788899999999899,-0.10460000000000491,0.026711000000005924,10,-0.1957000000000022,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,5,-0.0576919999999177,-0.08830000000000382,0.030608000000086122,11,-0.17940000000000111,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,5,0.2625550000000203,0.3666999999999945,0.10414499999997417,12,-0.45649999999999125,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,5,0.009688000000039665,0.05679999999999552,0.047111999999955856,13,-0.1465999999999923,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,5,-0.007561999999978752,0.050299999999992906,0.05786199999997166,14,-0.14009999999998968,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,5,0.020498000000003458,0.06940000000000168,0.048901999999998225,15,-0.15919999999999845,0.012729999999976371,0.033699999999996066,0.020970000000019695
0.4.Au0.Ir8,5,0.044169000000039205,0.06860000000000355,0.024430999999964342,8,-0.15840000000000032,-0.054200000000008686,-0.03649999999998954,0.017700000000019145
0.5.Au0.Ir9,5,0.06769900000006146,0.07830000000001291,0.010600999999951455,9,-0.16810000000000969,0.012889999999970314,-0.011199999999988108,0.024089999999958422
0.6.Au0.Ir10,5,0.0806890000000351,0.10590000000000543,0.02521099999997034,10,-0.1957000000000022,-0.021710000000012997,0.00940000000001362,0.031110000000026616
0.7.Au0.Ir11,5,0.06673900000004096,0.08960000000000434,0.022860999999963383,11,-0.17940000000000111,-0.007520000000027949,0.006100000000003547,0.013620000000031496
1.0.Au1.Ir12,5,0.24788800000001743,0.36539999999999395,0.11751199999997652,12,-0.45649999999999125,0.42517999999998324,0.7314000000000078,0.3062200000000246
1.1.Au1.Ir13,5,0.014671000000021195,0.055499999999995,0.0408289999999738,13,-0.1465999999999923,0.02440999999998894,0.057800000000000296,0.033390000000011355
1.2.Au1.Ir14,5,-0.006401999999980035,0.04899999999999238,0.05540199999997242,14,-0.14009999999998968,-0.042610000000024684,0.016199999999997772,0.058810000000022455
1.3.Au1.Ir15,5,0.020469000000019832,0.06810000000000116,0.04763099999998133,15,-0.15919999999999845,0.012939999999986185,0.03839999999999577,0.025460000000009586
1.4.Au1.Ir8,5,0.048336000000062995,0.06730000000000302,0.01896399999994003,8,-0.15840000000000032,-0.041010000000056834,-0.031799999999989836,0.009210000000066998
1.5.Au1.Ir9,5,0.06314900000003831,0.07700000000001239,0.013850999999974078,9,-0.16810000000000969,0.00309000000001447,-0.006499999999988404,0.009590000000002874
1.6.Au1.Ir10,5,0.08173900000002732,0.10460000000000491,0.022860999999977594,10,-0.1957000000000022,-0.026530000000008158,0.014100000000013324,0.04063000000002148
1.7.Au1.Ir11,5,0.06856900000002497,0.08830000000000382,0.01973099999997885,11,-0.17940000000000111,-0.00985000000005698,0.010800000000003251,0.02065000000006023
0.0.Ir0.Au12,6,-0.8713459999999884,-0.8230999999999966,0.048245999999991795,12,-0.7295999999999907,-0.8077800000000082,-0.7267000000000081,0.08108000000000004
0.1.Ir0.Au13,6,-0.056683999999989965,-0.12869999999999493,0.07201600000000496,13,-0.03519999999998902,-0.00836000000001036,-0.05310000000000059,0.04473999999999023
0.2.Ir0.Au14,6,-0.10072499999998286,-0.08809999999999718,0.012624999999985675,14,0.005400000000008731,-0.048570000000012215,-0.011499999999998067,0.03707000000001415
0.3.Ir0.Au15,6,-0.0424229999999568,-0.11109999999999332,0.06867700000003651,15,-0.017599999999987403,0.007530000000002701,-0.033699999999996066,0.04122999999999877
0.4.Ir0.Au8,6,-0.03585600000002387,-0.04060000000001196,0.004743999999988091,8,0.05289999999999395,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,6,-0.03415699999996491,-0.06510000000001526,0.030943000000050347,9,0.028399999999990655,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,6,-0.10440600000001155,-0.08570000000001698,0.01870599999999456,10,0.007799999999988927,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,6,-0.07205900000005272,-0.08330000000000837,0.011240999999955648,11,0.010199999999997544,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,6,-0.8874529999999652,-0.8280999999999921,0.05935299999997312,12,-0.7295999999999907,-0.822829999999982,-0.7314000000000078,0.09142999999997414
1.1.Ir1.Au13,6,-0.061626000000018166,-0.13369999999999038,0.07207399999997222,13,-0.03519999999998902,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,6,-0.10586399999996843,-0.09309999999999263,0.012763999999975795,14,0.005400000000008731,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,6,-0.04650300000000129,-0.11609999999998877,0.06959699999998747,15,-0.017599999999987403,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,6,-0.029335999999972273,-0.04560000000000741,0.01626400000003514,8,0.05289999999999395,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,6,-0.044760000000025,-0.07010000000001071,0.025339999999985707,9,0.028399999999990655,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,6,-0.12060900000003016,-0.09070000000001244,0.029909000000017727,10,0.007799999999988927,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,6,-0.08543199999999729,-0.08830000000000382,0.002868000000006532,11,0.010199999999997544,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,6,0.5026450000000011,0.8230999999999966,0.3204549999999955,12,-0.7295999999999907,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,6,0.07981799999998884,0.12869999999999493,0.04888200000000609,13,-0.03519999999998902,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,6,0.00876800000000344,0.08809999999999718,0.07933199999999374,14,0.005400000000008731,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,6,0.06773799999999142,0.11109999999999332,0.0433620000000019,15,-0.017599999999987403,0.012729999999976371,0.033699999999996066,0.020970000000019695
0.4.Au0.Ir8,6,0.006579000000016322,0.04060000000001196,0.03402099999999564,8,0.05289999999999395,-0.054200000000008686,-0.03649999999998954,0.017700000000019145
0.5.Au0.Ir9,6,0.07871900000003507,0.06510000000001526,0.01361900000001981,9,0.028399999999990655,0.012889999999970314,-0.011199999999988108,0.024089999999958422
0.6.Au0.Ir10,6,0.03817900000001373,0.08570000000001698,0.047521000000003255,10,0.007799999999988927,-0.021710000000012997,0.00940000000001362,0.031110000000026616
0.7.Au0.Ir11,6,0.054289000000011356,0.08330000000000837,0.02901099999999701,11,0.010199999999997544,-0.007520000000027949,0.006100000000003547,0.013620000000031496
1.0.Au1.Ir12,6,0.4972479999999848,0.8280999999999921,0.33085200000000725,12,-0.7295999999999907,0.42517999999998324,0.7314000000000078,0.3062200000000246
1.1.Au1.Ir13,6,0.07952099999999973,0.13369999999999038,0.05417899999999065,13,-0.03519999999998902,0.02440999999998894,0.057800000000000296,0.033390000000011355
1.2.Au1.Ir14,6,0.009677999999979647,0.09309999999999263,0.08342200000001299,14,0.005400000000008731,-0.042610000000024684,0.016199999999997772,0.058810000000022455
1.3.Au1.Ir15,6,0.06804900000000202,0.11609999999998877,0.04805099999998674,15,-0.017599999999987403,0.012939999999986185,0.03839999999999577,0.025460000000009586
1.4.Au1.Ir8,6,0.025196000000022423,0.04560000000000741,0.02040399999998499,8,0.05289999999999395,-0.041010000000056834,-0.031799999999989836,0.009210000000066998
1.5.Au1.Ir9,6,0.06382900000002678,0.07010000000001071,0.006270999999983928,9,0.028399999999990655,0.00309000000001447,-0.006499999999988404,0.009590000000002874
1.6.Au1.Ir10,6,0.03361900000001583,0.09070000000001244,0.05708099999999661,10,0.007799999999988927,-0.026530000000008158,0.014100000000013324,0.04063000000002148
1.7.Au1.Ir11,6,0.051348999999987655,0.08830000000000382,0.036951000000016165,11,0.010199999999997544,-0.00985000000005698,0.010800000000003251,0.02065000000006023
0.0.Ir0.Au12,7,-0.879035999999985,-0.6825000000000045,0.1965359999999805,12,-0.8067999999999955,-0.8077800000000082,-0.7267000000000081,0.08108000000000004
0.1.Ir0.Au13,7,-0.08584399999995185,-0.1728999999999985,0.08705600000004665,13,-0.2971999999999895,-0.00836000000001036,-0.05310000000000059,0.04473999999999023
0.2.Ir0.Au14,7,-0.40090499999990925,-0.3415999999999997,0.05930499999990957,14,-0.46589999999999065,-0.048570000000012215,-0.011499999999998067,0.03707000000001415
0.3.Ir0.Au15,7,-0.039392999999961376,-0.13280000000000314,0.09340700000004176,15,-0.2570999999999941,0.007530000000002701,-0.033699999999996066,0.04122999999999877
0.4.Ir0.Au8,7,-0.052096000000005915,-0.025200000000012324,0.02689599999999359,8,-0.1495000000000033,0.01099999999999568,0.03649999999998954,0.02549999999999386
0.5.Ir0.Au9,7,-0.06018699999992805,-0.0747000000000213,0.014513000000093257,9,-0.19900000000001228,0.010919999999998709,0.011199999999988108,0.00027999999998939984
0.6.Ir0.Au10,7,-0.0735559999999964,-0.017900000000011573,0.05565599999998483,10,-0.14220000000000255,-0.057390000000026475,-0.00940000000001362,0.047990000000012856
0.7.Ir0.Au11,7,-0.06626899999997704,-0.04580000000001405,0.02046899999996299,11,-0.17010000000000502,-0.02529000000004089,-0.006100000000003547,0.019190000000037344
1.0.Ir1.Au12,7,-0.9078829999999414,-0.6981999999999999,0.20968299999994144,12,-0.8067999999999955,-0.822829999999982,-0.7314000000000078,0.09142999999997414
1.1.Ir1.Au13,7,-0.10573599999997896,-0.18859999999999388,0.08286400000001493,13,-0.2971999999999895,-0.014130000000022847,-0.057800000000000296,0.04366999999997745
1.2.Ir1.Au14,7,-0.41261399999993387,-0.35729999999999507,0.0553139999999388,14,-0.46589999999999065,-0.05345000000002642,-0.016199999999997772,0.03725000000002865
1.3.Ir1.Au15,7,-0.05517299999996794,-0.14849999999999852,0.09332700000003058,15,-0.2570999999999941,0.00354999999998995,-0.03839999999999577,0.04194999999998572
1.4.Ir1.Au8,7,-0.04811599999993632,-0.04090000000000771,0.007215999999928613,8,-0.1495000000000033,0.017269999999996344,0.031799999999989836,0.014529999999993493
1.5.Ir1.Au9,7,-0.08350999999998976,-0.09040000000001669,0.00689000000002693,9,-0.19900000000001228,0.001519999999970878,0.006499999999988404,0.004980000000017526
1.6.Ir1.Au10,7,-0.09748899999999594,-0.03360000000000696,0.06388899999998898,10,-0.14220000000000255,-0.07433000000003176,-0.014100000000013324,0.060230000000018435
1.7.Ir1.Au11,7,-0.09348199999993767,-0.061500000000009436,0.031981999999928235,11,-0.17010000000000502,-0.038170000000064874,-0.010800000000003251,0.027370000000061623
0.0.Au0.Ir12,7,0.35183500000005097,0.6825000000000045,0.3306649999999536,12,-0.8067999999999955,0.428089999999969,0.7267000000000081,0.2986100000000391
0.1.Au0.Ir13,7,0.12790800000004765,0.1728999999999985,0.04499199999995085,13,-0.2971999999999895,0.026299999999991996,0.05310000000000059,0.026800000000008595
0.2.Au0.Ir14,7,0.16863800000004403,0.3415999999999997,0.17296199999995565,14,-0.46589999999999065,-0.043630000000007385,0.011499999999998067,0.05513000000000545
0.3.Au0.Ir15,7,0.09844800000001896,0.13280000000000314,0.03435199999998417,15,-0.2570999999999941,0.012729999999976371,0.033699999999996066,0.020970000000019695
